# Wind Farm n. 1
# Data provided by Fischetti & Pisinger (see their paper published in 2007 in EJOR

param C := 10;

param : V : x_coord y_coord type :=
1	428636	6152126	-1
2	423974	6151448	1
3	424042	6150891	1
4	424111	6150335	1
5	424179	6149780	1
6	424247	6149224	1
7	424315	6148668	1
8	424384	6148112	1
9	424452	6147556	1
10	424534	6151447	1
11	424602	6150891	1
12	424671	6150335	1
13	424739	6149780	1
14	424807	6149224	1
15	424875	6148668	1
16	424944	6148112	1
17	425012	6147556	1
18	425094	6151447	1
19	425162	6150891	1
20	425231	6150335	1
21	425299	6149780	1
22	425367	6149224	1
23	425435	6148667	1
24	425504	6148112	1
25	425572	6147557	1
26	425654	6151447	1
27	425722	6150891	1
28	425791	6150334	1
29	425859	6149780	1
30	425927	6149224	1
31	425995	6148668	1
32	426064	6148113	1
33	426132	6147556	1
34	426214	6151447	1
35	426282	6150891	1
36	426351	6150335	1
37	426419	6149780	1
38	426487	6149224	1
39	426555	6148668	1
40	426624	6148112	1
41	426692	6147555	1
42	426774	6151447	1
43	426842	6150891	1
44	426911	6150335	1
45	426979	6149780	1
46	427047	6149224	1
47	427115	6148668	1
48	427184	6148112	1
49	427252	6147556	1
50	427334	6151447	1
51	427402	6150891	1
52	427471	6150335	1
53	427539	6149780	1
54	427607	6149224	1
55	427675	6148668	1
56	427744	6148112	1
57	427812	6147556	1
58	427894	6151447	1
59	427962	6150890	1
60	428031	6150335	1
61	428099	6149780	1
62	428167	6149224	1
63	428235	6148668	1
64	428304	6148112	1
65	428372	6147556	1
66	428454	6151447	1
67	428522	6150891	1
68	428591	6150335	1
69	428659	6149781	1
70	428727	6149224	1
71	428795	6148669	1
72	428864	6148112	1
73	428932	6147555	1
74	429014	6151447	1
75	429082	6150891	1
76	429151	6150335	1
77	429219	6149780	1
78	429287	6149224	1
79	429355	6148668	1
80	429424	6148112	1
81	429492	6147556	1
;

param : T : k u max_usage := 
1	7	370	99
2	11	393	99
3	13	435	99
;






