# Wind Farm n. 2
# Data provided by Fischetti & Pisinger (see their paper published in 2007 in EJOR

param C := 99;

param : V : x_coord y_coord type :=
1	368000	5700576	-1
2	365006	5703644	1
3	365426	5703080	1
4	365963	5702357	1
5	366263	5701952	1
6	366681	5701389	1
7	365701	5703737	1
8	366119	5703172	1
9	366539	5702609	1
10	366958	5702046	1
11	367377	5701483	1
12	366397	5703831	1
13	366836	5703314	1
14	367177	5702570	1
15	367645	5702140	1
16	368072	5701576	1
17	367093	5703925	1
18	367512	5703361	1
19	367931	5702798	1
20	368349	5702235	1
21	368769	5701671	1
22	367789	5704018	1
23	368176	5703490	1
24	368627	5702892	1
25	369045	5702328	1
26	369464	5701765	1
27	368484	5704113	1
28	368956	5703481	1
29	369322	5702985	1
30	369741	5702421	1
31	370160	5701859	1
;

param : T : k u max_usage := 
1	5	370	99
2	8	393	99
3	9	435	99
;


